Sports	Religious	NatureTheatre	Shopping	Picnic
2	77	7969	68	95
2	62	7676	69	68
2	50	9787	50	75
2	68	7795	76	61
2	98	5459	95	86
3	52	10993	52	76
3	64	8582	73	69
3	54	10792	54	76
3	64	10864	54	93
3	86	7674	74	103
3	107	5464	103	94
3	103	6063	102	93
3	64	8282	75	69
3	93	5474	103	69
3	63	8281	78	69
3	82	7975	75	82
5	59	131103	54	86
5	56	124108	56	85
4	85	67111	65	72
5	114	8365	114	102
4	93	8279	79	90
4	105	5275	113	78
5	69	11874	66	101
4	71	12364	59	102
5	88	9481	79	91
5	83	9989	74	91
5	69	13374	54	101
5	128	5374	117	105
5	74	12369	61	101
5	79	93118	90	72
4	51	115110	51	84
5	69	9393	81	79
4	100	5386	112	78
4	88	69108	71	77
4	93	8475	84	112
4	79	86110	93	73
4	87	72112	63	71
5	65	12879	56	101
4	91	66110	69	71
4	93	7974	92	90
5	59	118108	63	85
5	65	10390	80	79
4	87	8976	89	111
4	93	8579	85	91
5	93	9479	79	113
5	74	13074	53	101
4	118	5969	119	97
4	101	6176	113	78
5	88	9979	83	114
4	74	8787	79	79
14	148	59104	208	119
5	93	8974	89	93
4	79	10368	103	85
4	76	92111	90	71
8	94	14089	118	92
8	108	10989	89	143
6	98	89133	79	79
8	84	118102	94	90
8	138	7479	143	118
6	74	109103	89	88
8	118	10494	94	118
8	94	12889	128	99
8	64	155118	64	97
6	84	108138	103	79
8	108	10994	99	138
6	89	108128	116	81
6	103	79148	74	79
6	103	10999	89	108
8	108	9994	94	138
8	108	109104	79	133
8	138	5984	138	128
8	79	143113	69	109
8	84	15379	64	113
8	74	148118	64	104
8	74	153118	59	99
6	118	64101	133	92
6	69	153113	59	99
6	123	6889	128	90
6	99	104128	64	78
6	124	5984	143	88
6	84	131128	93	81
6	113	6489	141	86
6	118	6499	134	88
8	89	14384	64	118
6	98	89133	69	79
6	98	104109	91	101
8	84	14374	74	133
8	123	6493	148	90
6	84	113141	98	81
6	59	148125	59	97
8	143	6979	143	123
8	94	13384	125	97
8	84	108113	93	90
8	84	13889	69	123
6	84	108133	98	81
6	99	84138	69	83
8	113	9484	109	128
6	148	6474	138	128
8	84	138113	64	114
6	98	79138	79	79
8	133	8484	133	118
6	79	113106	87	88
8	113	10484	94	148
6	69	138113	79	99
6	83	10398	99	90
8	69	143123	71	97
8	118	9499	99	143
6	74	13399	74	113
12	115	94163	109	92
12	123	124109	114	168
12	94	133157	133	95
12	104	123163	128	89
14	99	19889	74	153
14	113	14899	148	110
14	94	16399	94	153
12	133	104119	129	133
14	163	6994	188	143
12	74	158158	74	119
12	123	124109	129	143
12	94	137148	113	100
12	123	129139	99	143
12	89	16399	79	143
14	81	173143	79	122
14	135	84158	139	92
12	108	113133	114	100
14	138	119119	124	158
12	128	122134	109	120
14	79	203153	69	119
12	84	150128	104	102
12	148	69104	173	138
14	133	124119	124	168
12	89	128148	111	102
12	79	183133	70	113
12	96	113113	99	97
14	84	161153	84	116
12	109	135158	123	92
12	133	74114	175	102
14	133	139124	109	128
12	128	124114	111	126
10	97	123108	119	111
12	123	104104	134	153
10	113	89168	89	89
12	109	14894	133	119
10	165	6494	173	97
12	93	123123	124	100
14	143	98119	163	105
12	89	15889	89	158
10	113	111153	84	97
12	138	86114	158	102
12	79	158148	69	119
14	84	178138	87	116
14	84	168148	80	113
14	84	173143	69	110
12	104	130178	118	92
10	99	123153	128	103
12	93	128118	119	100
12	128	119104	119	173
14	94	178109	69	143
12	148	69104	168	114
12	113	114109	119	143
12	153	7494	163	158
22	139	163114	203	139
14	163	9994	158	143
12	89	17889	79	153
12	79	183104	69	148
12	168	6984	198	133
22	128	158183	158	130
22	129	188109	104	198
16	178	74114	198	129
20	143	139139	139	148
20	114	198124	114	153
18	105	158143	129	133
20	120	193104	148	138
20	98	193163	99	140
22	148	174129	129	153
20	183	104164	193	153
18	99	203129	94	158
22	139	178139	163	144
22	90	188163	109	138
18	163	84129	193	139
18	88	178178	89	140
18	114	144213	133	128
22	143	124208	134	124
20	188	94104	208	158
18	99	228104	84	163
18	178	94114	188	173
22	119	198149	114	168
20	114	203109	84	158
18	99	193158	99	144
22	153	139154	154	183
20	162	94144	198	135
18	132	149139	119	144
18	104	193114	99	173
18	99	183128	114	129
20	178	89154	198	183
20	114	243104	79	173
22	133	183114	183	140
22	148	149154	149	148
22	114	213129	94	178
22	188	124114	183	188
25	153	159129	139	218
18	114	153178	138	124
22	184	84129	233	133
18	84	193188	80	138
18	178	129104	183	163
18	114	163163	148	124
16	132	94178	109	120
20	93	183178	89	140
16	137	104173	109	130
18	153	74114	188	129
18	128	114168	124	124
22	114	228119	99	168
22	178	89114	203	139
18	173	8499	193	158
20	168	89124	183	129
18	83	198163	84	140
22	144	173134	173	149
18	198	6489	203	153
20	114	208114	119	168
18	114	183114	109	178
18	114	173183	128	124
18	128	134188	89	124
18	143	154129	129	178
18	128	163173	133	130
18	148	99139	168	129
18	83	218163	74	140
22	120	168158	144	133
22	203	99104	223	173
18	143	139119	139	203
22	153	144139	144	193
18	147	144129	149	144
18	188	74109	213	168
25	158	154154	154	153
25	104	208168	134	144
25	139	153193	158	134
25	84	247168	109	140
25	173	89124	233	158
8	93	11999	89	138
22	124	168208	148	124
18	114	158178	158	124
20	188	9494	223	153
25	114	238124	104	178
18	94	188148	99	139
25	129	31894	89	188
18	139	148129	129	168
22	114	228104	84	168
20	124	178104	158	174
20	133	149139	144	213
20	143	149139	159	143
